# LikeIME emoji export for Rime liur
# locale\ttag\tvalue
tw	人	💭
tw	人	💼
tw	人	📿
tw	人	🕴
tw	人	🕵
tw	人	🖐
tw	人	🖕
tw	人	🖖
tw	人	🗣
tw	人	😀
tw	人	😁
tw	人	😂
tw	人	😃
tw	人	😄
tw	人	😅
tw	人	😆
tw	人	😇
tw	人	😈
tw	人	😉
tw	人	😊
tw	人	😋
tw	人	😌
tw	人	😍
tw	人	😎
tw	人	😏
tw	人	😐
tw	人	😑
tw	人	😒
tw	人	😓
tw	人	😔
tw	人	😕
tw	人	😖
tw	人	😗
tw	人	😘
tw	人	😙
tw	人	😚
tw	人	😛
tw	人	😜
tw	人	😝
tw	人	😞
tw	人	😟
tw	人	😠
tw	人	😡
tw	人	😢
tw	人	😣
tw	人	😤
tw	人	😥
tw	人	😦
tw	人	😧
tw	人	😨
tw	人	😩
tw	人	😪
tw	人	😫
tw	人	😬
tw	人	😭
tw	人	😮
tw	人	😯
tw	人	😰
tw	人	😱
tw	人	😲
tw	人	😳
tw	人	😴
tw	人	😵
tw	人	😶
tw	人	😷
tw	人	🙁
tw	人	🙂
tw	人	🙃
tw	人	🙄
tw	人	🙅
tw	人	🙆
tw	人	🙇
tw	人	🙋
tw	人	🙌
tw	人	🙍
tw	人	🙎
tw	人	🙏
tw	人	🚴
tw	人	🚵
tw	人	🚶
tw	人	🤐
tw	人	🤑
tw	人	🤒
tw	人	🤓
tw	人	🤔
tw	人	🤕
tw	人	🤖
tw	人	🤗
tw	人	🤘
tw	介紹	🔳
tw	仙人掌	🌵
tw	企鵝	🐧
tw	伊斯蘭教	☪
tw	伊斯蘭教	🕋
tw	伊斯蘭教	🕌
tw	休閒	🚙
tw	位置	🗾
tw	低	🔅
tw	低	🔉
tw	佛教	☸
tw	佛法	☸
tw	來港定居人士	🛬
tw	來電	📨
tw	來電	📲
tw	便便	💩
tw	便當	🍱
tw	保齡球	🎳
tw	信	💌
tw	信件	📤
tw	信件	📥
tw	信件	📧
tw	信件	📨
tw	信件	📩
tw	信封	📨
tw	信封	📩
tw	信息	💁
tw	信號	📶
tw	信號	🚥
tw	信號	🚦
tw	信貸	💳
tw	倉鼠	🐹
tw	個人	💻
tw	個人電腦	💻
tw	倒	🙃
tw	停止	⏹
tw	停車	🚏
tw	偵探	🕵
tw	傘	☂
tw	傘	⛱
tw	傘	🌂
tw	傘	🏖
tw	備忘錄	📝
tw	傳真	📠
tw	傷害	🤕
tw	傷心	😭
tw	傻笑	😏
tw	儀器	🎷
tw	儀器	🎺
tw	儀器	🎻
tw	儀式	🎑
tw	光	💡
tw	光	💽
tw	光	💿
tw	光	📀
tw	光	🔦
tw	光	🕯
tw	光	🚥
tw	光	🚦
tw	光	🚨
tw	免費	🆓
tw	兔子	🐇
tw	兔子	🐰
tw	兔子	👯
tw	兔子廁所	🚮
tw	入場	🎫
tw	入院	🎟
tw	全	🌕
tw	全球範圍內	🌍
tw	全蠍	🦂
tw	公主	👸
tw	公交車	🚌
tw	公交車	🚍
tw	公交車	🚎
tw	公交車	🚐
tw	公共廣播	📢
tw	公共汽車	🚏
tw	公共汽車站	🚏
tw	公園	🏞
tw	公文包	💼
tw	公正	⚖
tw	公牛	🎯
tw	公羊	🐏
tw	公路	🛣
tw	公雞	🐓
tw	其他的	🗨
tw	具有諷刺意味的	😼
tw	冰	⛸
tw	冰	🍦
tw	冰	🍧
tw	冰	🍨
tw	冰	🏒
tw	冰淇淋	🍦
tw	冰球	🏒
tw	冷	☃
tw	冷	🌨
tw	冷	🏔
tw	冷	💧
tw	冷	😅
tw	冷	😓
tw	冷	😰
tw	出汗	💧
tw	出租車	🚕
tw	出租車	🚖
tw	出行	🚪
tw	刀	🍴
tw	刀	🍽
tw	刀	🔪
tw	刀	🗡
tw	分數	🎼
tw	切片	🍕
tw	切片	🍰
tw	划艇	🚣
tw	列車	🚉
tw	初學者	🔰
tw	到位	🏪
tw	到達	🛬
tw	剃光	🍧
tw	剪影	👤
tw	剪影	👥
tw	剪影	🗣
tw	剪貼板	📋
tw	副	🗜
tw	劃線	⚔
tw	劇場	🎭
tw	劍	⚔
tw	加	➕
tw	加息	🚶
tw	動物	🐀
tw	動物	🐁
tw	動物	🐂
tw	動物	🐃
tw	動物	🐄
tw	動物	🐅
tw	動物	🐆
tw	動物	🐇
tw	動物	🐈
tw	動物	🐉
tw	動物	🐊
tw	動物	🐋
tw	動物	🐌
tw	動物	🐍
